dt_data_competencia,nm_adm_desl,cd_uf,nm_uf,cd_divisao,nm_grupo,nm_divisao,saldo_total
2023-08-01,Admitido,42,Santa Catarina,24,Metalurgia dos metais não ferrosos,Metalurgia,62.0
2023-08-01,Admitido,42,Santa Catarina,24,"Produção de tubos de aço, exceto tubos sem costura",Metalurgia,44.0
2023-08-01,Admitido,42,Santa Catarina,24,Siderurgia,Metalurgia,61.0
2023-08-01,Desligado,42,Santa Catarina,24,"Produção de tubos de aço, exceto tubos sem costura",Metalurgia,-33.0
2023-08-01,Admitido,42,Santa Catarina,24,Fundição,Metalurgia,749.0
2023-08-01,Admitido,42,Santa Catarina,25,"Fabricação de tanques, reservatórios metálicos e caldeiras","Fabricação de produtos de metal, exceto máquinas e equipamentos",51.0
2023-08-01,Desligado,42,Santa Catarina,25,Fabricação de estruturas metálicas e obras de caldeiraria pesada,"Fabricação de produtos de metal, exceto máquinas e equipamentos",-542.0
2023-08-01,Admitido,42,Santa Catarina,25,Fabricação de produtos de metal não especificados anteriormente,"Fabricação de produtos de metal, exceto máquinas e equipamentos",441.0
2023-08-01,Desligado,42,Santa Catarina,25,"Fabricação de artigos de cutelaria, de serralheria e ferramentas","Fabricação de produtos de metal, exceto máquinas e equipamentos",-193.0
2023-08-01,Desligado,42,Santa Catarina,25,"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais","Fabricação de produtos de metal, exceto máquinas e equipamentos",-572.0
2023-08-01,Desligado,42,Santa Catarina,25,Fabricação de produtos de metal não especificados anteriormente,"Fabricação de produtos de metal, exceto máquinas e equipamentos",-487.0
2023-08-01,Desligado,42,Santa Catarina,25,"Fabricação de tanques, reservatórios metálicos e caldeiras","Fabricação de produtos de metal, exceto máquinas e equipamentos",-40.0
2023-08-01,Admitido,42,Santa Catarina,25,Fabricação de estruturas metálicas e obras de caldeiraria pesada,"Fabricação de produtos de metal, exceto máquinas e equipamentos",744.0
