"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"420020","AGROLÂNDIA","SC","05/2026","","162","","119262","","736,19"
"420020","AGROLÂNDIA","SC","11/2015","112","","17607","","157,21",""
"420020","AGROLÂNDIA","SC","10/2015","115","","18451","","160,44",""
"420020","AGROLÂNDIA","SC","08/2015","118","","19041","","161,36",""
"420020","AGROLÂNDIA","SC","07/2015","122","","19454","","159,46",""
"420020","AGROLÂNDIA","SC","06/2015","125","","19912","","159,30",""
"420020","AGROLÂNDIA","SC","03/2015","128","","19859","","155,15",""
"420020","AGROLÂNDIA","SC","09/2023","","155","","108884","","702,48"
"420020","AGROLÂNDIA","SC","12/2015","114","","17978","","157,70",""
"420020","AGROLÂNDIA","SC","09/2015","120","","19599","","163,33",""
"420020","AGROLÂNDIA","SC","03/2017","78","","12916","","165,59",""
"420020","AGROLÂNDIA","SC","06/2023","","191","","136792","","716,19"
"420020","AGROLÂNDIA","SC","02/2026","","160","","109614","","685,09"
"420020","AGROLÂNDIA","SC","01/2026","","159","","110019","","691,94"
"420020","AGROLÂNDIA","SC","01/2017","83","","14269","","171,92",""
"420020","AGROLÂNDIA","SC","02/2017","82","","14418","","175,83",""
"420020","AGROLÂNDIA","SC","04/2017","81","","13637","","168,36",""
"420020","AGROLÂNDIA","SC","06/2017","86","","14467","","168,22",""
"420020","AGROLÂNDIA","SC","07/2017","82","","13260","","161,71",""
"420020","AGROLÂNDIA","SC","08/2017","80","","12472","","155,90",""
"420020","AGROLÂNDIA","SC","09/2017","82","","13086","","159,59",""
"420020","AGROLÂNDIA","SC","10/2017","78","","12721","","163,09",""
"420020","AGROLÂNDIA","SC","11/2017","81","","13448","","166,02",""
"420020","AGROLÂNDIA","SC","12/2017","83","","13542","","163,16",""
"420020","AGROLÂNDIA","SC","04/2023","","191","","135456","","709,19"
"420020","AGROLÂNDIA","SC","05/2023","","191","","135895","","711,49"
"420020","AGROLÂNDIA","SC","03/2023","","187","","131359","","702,45"
"420020","AGROLÂNDIA","SC","04/2026","","162","","113801","","711,26"
"420020","AGROLÂNDIA","SC","03/2026","","153","","102376","","682,51"
"420020","AGROLÂNDIA","SC","09/2018","73","","11372","","155,78",""
"420020","AGROLÂNDIA","SC","05/2016","104","","17511","","168,38",""
"420020","AGROLÂNDIA","SC","01/2016","110","","16832","","153,02",""
"420020","AGROLÂNDIA","SC","08/2007","304","","18310","","60,23",""
"420020","AGROLÂNDIA","SC","08/2021","93","","9925","","106,72",""
"420020","AGROLÂNDIA","SC","09/2016","115","","20565","","178,83",""
"420020","AGROLÂNDIA","SC","02/2016","107","","16353,00","","152,83",""
"420020","AGROLÂNDIA","SC","10/2018","75","","11564","","154,19",""
