anexo_padronizado,coluna,cod_conta,conta,linhas,municipios,anos,primeiro_ano,ultimo_ano
Anexo I-AB,31/12/2013,PassivoCompensado,69 - PASSIVO COMPENSADO,278,278,1,2013,2013
Anexo I-AB,31/12/2013,PassivoFinanceiroALongoPrazo,25 - PASSIVO FINANCEIRO A LONGO PRAZO,40,40,1,2013,2013
Anexo I-AB,31/12/2013,PassivoFinanceiroQDCC,2 - PASSIVO FINANCEIRO = (3+6+24+25),288,288,1,2013,2013
Anexo I-AB,31/12/2013,PassivoNaoFinanceiroQDCC,26 - PASSIVO NÃO FINANCEIRO = (27+43+44+63),273,273,1,2013,2013
Anexo I-AB,31/12/2013,PassivoReal,64 - PASSIVO REAL = (2+26),292,292,1,2013,2013
Anexo I-AB,31/12/2013,PatrimonioCapital,66 - Patrimônio/Capital,247,247,1,2013,2013
Anexo I-AB,31/12/2013,PatrimonioLiquido,65 - PATRIMÔNIO LÍQUIDO = (66+67+68),293,293,1,2013,2013
Anexo I-AB,31/12/2013,Permanente,62 - PERMANENTE = (63+68+78+81),292,292,1,2013,2013
Anexo I-AB,31/12/2013,PessoalAPagarDeExerciciosAnteriores,12 - Pessoal a Pagar - De Exercício Anteriores,35,35,1,2013,2013
Anexo I-AB,31/12/2013,PessoalAPagarDoExercicio,11 - Pessoal a Pagar - Do Exercício,68,68,1,2013,2013
Anexo I-AB,31/12/2013,Poupancas,10 - Poupanças,51,51,1,2013,2013
Anexo I-AB,31/12/2013,PrecatoriosAPartirDe05052000,41 - Precatórios A partir de 05/05/2000,39,39,1,2013,2013
Anexo I-AB,31/12/2013,PrecatoriosAnterioresA05052000QDCC,40 - Precatórios Anteriores a 05/05/2000,10,10,1,2013,2013
Anexo I-AB,31/12/2013,PrecatoriosPassivoFinanceiro,13 - Precatórios - Passivo Financeiro,12,12,1,2013,2013
Anexo I-AB,31/12/2013,PrecatoriosPassivoNaoFinanceiro,39 - Precatórios - Passivo Não Financeiro = (40+41),46,46,1,2013,2013
Anexo I-AB,31/12/2013,ProvisaoParaDevedoresDuvidososACurtoPrazo,39 - ( * ) Provisão p/ Devedores Duvidosos,1,1,1,2013,2013
Anexo I-AB,31/12/2013,ProvisaoParaDevedoresDuvidososALongoPrazo,61 - ( * ) Provisão para devedores duvidosos - LP,1,1,1,2013,2013
Anexo I-AB,31/12/2013,ProvisaoParaPerdasEmInvestimentos,26 - ( * ) Provisão para Perdas em Investimentos,23,23,1,2013,2013
Anexo I-AB,31/12/2013,ProvisaoParaPerdesDeDividaAtiva,56 - ( * ) Provisão p/ Perdas de Dívida Ativa,21,21,1,2013,2013
Anexo I-AB,31/12/2013,Provisoes,28 - Provisões,9,9,1,2013,2013
Anexo I-AB,31/12/2013,ProvisoesAmortizadas,60 - ( * ) Provisões Amortizadas,9,9,1,2013,2013
Anexo I-AB,31/12/2013,ProvisoesAtuariaisParaAjustesDoPlano,61 - Provisões Atuariais para Ajustes do Plano,17,17,1,2013,2013
Anexo I-AB,31/12/2013,ProvisoesDiversas,15 - Provisões Diversas,3,3,1,2013,2013
Anexo I-AB,31/12/2013,ProvisoesMatematicasPrevidenciarias,57 - Provisões Matemáticas Previdenciárias = (58+59-60+61),52,52,1,2013,2013
Anexo I-AB,31/12/2013,ProvisoesParaBeneficiosAConceder,59 - Provisões para Benefícios a Conceder,38,38,1,2013,2013
Anexo I-AB,31/12/2013,ProvisoesParaBeneficiosConcedidos,58 - Provisões para Benefícios Concedidos,31,31,1,2013,2013
Anexo I-AB,31/12/2013,RealizavelACurtoPrazo,29 - REALIZÁVEL A CURTO PRAZO = (30+40),132,132,1,2013,2013
Anexo I-AB,31/12/2013,RealizavelALongoPrazo,50 - REALIZÁVEL A LONGO PRAZO = (51+54),285,285,1,2013,2013
Anexo I-AB,31/12/2013,RecursosVinculadosACurtoPrazo,37 - Recursos Vinculados - Curto Prazo,12,12,1,2013,2013
Anexo I-AB,31/12/2013,RecursosVinculadosALongoPrazo,53 - Recursos Vinculados- Longo Prazo,10,10,1,2013,2013
Anexo I-AB,31/12/2013,Reservas,67 - Reservas,4,4,1,2013,2013
Anexo I-AB,31/12/2013,ResponsabilidadePorTitulosEValoresAtivo,86 - Responsabilidade por Títulos e Valores,120,120,1,2013,2013
Anexo I-AB,31/12/2013,RestosAPagarNaoProcessados,18 - Restos a Pagar Não Processados = (19),177,177,1,2013,2013
Anexo I-AB,31/12/2013,RestosAPagarProcessadosQDCC,7 - Restos a Pagar Processados = (8+ ... +17),250,250,1,2013,2013
Anexo I-AB,31/12/2013,ResultadoAcumulado,68 - Resultado Acumulado,77,77,1,2013,2013
Anexo I-AB,31/12/2013,TerrasETerrenos,74 - Terras e Terrenos,171,171,1,2013,2013
Anexo I-AB,31/12/2013,Titulos,8 - Títulos,2,2,1,2013,2013
Anexo I-AB,31/12/2013,TitulosEValores,42 - Títulos e Valores,7,7,1,2013,2013
