ano,territorio,nivel_territorial,codigo_municipio,etapa_ensino,indicador_codigo,indicador_nome,valor,unidade,fonte,observacao_metodologica
2019,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,15.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,17.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,1.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,2.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2019,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,6.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,93.70,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,97.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,89.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,76.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,5.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,2.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,8.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,14.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,1.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,1.90,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2020,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,8.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,91.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,96.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,86.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,75.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,7.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,3.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,11.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,15.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,1.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,2.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2021,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,9.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,90.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2022,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,94.70,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
